NPSN,Name,Level,Status,Location,Subdistrict,City,Province,Link
69823494,PAUD MAWAR,KB,SWASTA,Jl. Entang Adjili Rt/Rw 05/01,Kemang Kec. Bojong Picung,Kab. Cianjur,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F8FF566-E102-4E3A-9FA9-E19205367B5E
69877694,KB PUTERI ASTALIN,KB,SWASTA,BEIRAFU,BEIRAFU Kec. Atambua Barat,Kab. Belu,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/177BC7E2-964B-43A0-BA28-E19253567616
69869230,KB NURUL HASANAH,KB,SWASTA,CIPENJO RT.11 RW 05,Cipenjo Kec. Cileungsi,Kab. Bogor,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/25DF647E-E34D-4866-BBA0-E1925B7E1EB2
69908139,KB. RAHMANI KOROBONDE,KB,SWASTA,JL. Trans Desa Korobonde,Korobonde Kec. Lembo,Kab. Morowali Utara,Sulawesi Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/44FAF4F4-045A-469A-8F20-E193B56BBDAB
69985218,KB AL HIKMAH,KB,SWASTA,Kp. Cerewed No. 106 Rt.005/007,Duren Jaya Kec. Bekasi Timur,Kota Bekasi,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/96BA9399-DE00-4C65-B808-E19571683B0B
69943114,KB TERATAI 1 TOLA,KB,SWASTA,Lind.1 Kamp.Tola,Tola Kec. Tabukan Utara,Kab. Kep. Sangihe,Sulawesi Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6F31E102-3836-4188-B88F-E1957DE592FC
69966343,KB BUKIT PELANGI,KB,SWASTA,"Jln. Batu Kemalik, Dusun Bukit Tinggi",BUKIT TINGGI Kec. Gunung Sari,Kab. Lombok Barat,Nusa Tenggara Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A7536B54-9C1A-43F2-A3E3-E196081A3906
69763186,KB HARAPAN BANGSA,KB,SWASTA,Jl. Kali Lesti  Rt. 01 Rw.06,Pakunden Kec. Sukorejo,Kota Blitar,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F75685B0-83D2-4E45-B80C-E19639F2D112
69876726,KB HARAPAN BANGSA,KB,SWASTA,Kp. Cibuntiris,Mangkonjaya Kec. Bojonggambir,Kab. Tasikmalaya,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D471039-CD8B-4C31-B229-E19659C9D609
69924398,KB BINTANG,KB,SWASTA,DESA REJO SARI KEC. SUNGAI KERUH,Rejo Sari Kec. Sungai Keruh,Kab. Musi Banyuasin,Sumatera Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B82E9F43-2B39-49A6-8FD5-E1969E3259FF
69987833,KB TUMBUH KEMBANG BERSAMA KAPITU,KB,SWASTA,JAGA 10,Kapitu Kec. Amurang Barat,Kab. Minahasa Selatan,Sulawesi Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0C50C11D-1127-4986-B7A5-E197BBAAD792
69995984,KB MUZDALIFAH,KB,SWASTA,Kp. Pabuaran 2 Rt.010/ Rw.002 Ds. Malang...,Malanggah Kec. Tunjung Teja,Kab. Serang,Banten,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BD9F56BA-A47B-4D86-AE21-E198146E64AB
69894513,KB DAMBAAN HATI,KB,SWASTA,Jl. Gusti Abdul Majid Gg. Pangkut RT. 02,Sungai Mentawa Kec. Bulik,Kab. Lamandau,Kalimantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/532BAE82-248D-45DB-8A43-E199F76CFAC2
69913290,KELOMPOK BERMAIN MERPATI,KB,SWASTA,BORONG AMPIRIE,Kalobba Kec. Tellu Limpoe,Kab. Sinjai,Sulawesi Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F6B26601-879E-42D8-8991-E19B6E9EC5F2
69974635,KB MELATI,KB,SWASTA,SEI GITA,SEI GITA Kec. Mantangai,Kab. Kapuas,Kalimantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8DDBA5F5-24D3-4831-B373-E19C06FF8125
69933895,KB AL HIKMAH,KB,SWASTA,Dukuh Karang  RT.03 RW VI,Kangkung Kec. Mranggen,Kab. Demak,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A82DB359-DD16-4E97-9339-E19CB210251C
69879566,KB AL-HASANAH,KB,SWASTA,KP. CIBUBUAY RT.03/01,Cibuntu Kec. Simpenan,Kab. Sukabumi,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E984A54D-B34F-4731-83E1-E19CE8B9A268
69762448,KB PERTIWI,KB,SWASTA,ANJIR SERAPAT,HILIR MESJID Kec. Anjir Pasar,Kab. Barito Kuala,Kalimantan Selatan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C1D587EB-E4D7-423E-B1F0-E19CFCB0972F
69944135,PAUD RANTEPONGKO,KB,SWASTA,rANTEPONGKO,Tondok Bakaru Kec. Mamasa,Kab. Mamasa,Sulawesi Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/137B8E6A-69FB-42CA-874C-E19D55732FEC
20576417,KB AL - AZHAR,KB,SWASTA,"Desa Kesamben, Kecamatan Kesamben",Kesamben Kec. Kesamben,Kab. Jombang,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5ABF2008-D8CB-4186-B93D-E19D9204C719
69928268,KB AISYIYAH SINAR HIDAYAH,KB,SWASTA,Gunung Watu RT 02 RW 04,Kalijirak Kec. Tasikmadu,Kab. Karanganyar,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4341552F-B443-4F9E-B419-E19F0491433B
69992857,KB MIFTAHUL ULUM,KB,SWASTA,Jl. Sumberayu RT. 02 RW. 25,Pamotan Kec. Dampit,Kab. Malang,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4AC5CB80-64F4-4769-8DDE-E19F1B54146A
69761350,KB. CEMPAKA 02,KB,SWASTA,KARANG ANYAR RT.25 RW.08,KARANGANYAR Kec. Tegalampel,Kab. Bondowoso,Jawa Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3FE9E2A7-FA15-47A8-9F5E-E19FF3A701DE
69926936,KB PRABU JM,KB,SWASTA,JL. SIBAYAK NO. 18 RT 23,Jaya Mukti Kec. Dumai Timur,Kota Dumai,Riau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ED30A8DB-B9BA-450C-857A-E1A03AC1BFBA
69906400,KB Bina Bangsa,KB,SWASTA,Pucungbedug,Pucungbedug Kec. Purwanegara,Kab. Banjarnegara,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF8D6F5B-3766-448D-9F73-E1A0D311B7EF
69782043,KB HIKMATUL AMIN,KB,SWASTA,KP. PAMOYANAN RT.02 RW.06,Selawangi Kec. Sukaraja,Kab. Sukabumi,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/732DC190-21CC-42DB-9ADE-E1A0E83249CA
69929085,PAUD SINAR LILIN,KB,SWASTA,Oerutan,Nauke Kusa Kec. Laenmanen,Kab. Malaka,Nusa Tenggara Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00E69BE2-BD83-46C8-AAD7-E1A1363CFC98
69777777,AL-FALAH,KB,SWASTA,CIDOYANG,Sukakerta Kec. Panumbangan,Kab. Ciamis,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0FF7C409-0ACE-47D7-B276-E1A2A5795979
69821688,KB NURUL IKHWAN,KB,SWASTA,KP. CIBATU,CIROYOM Kec. Bojonggambir,Kab. Tasikmalaya,Jawa Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5F8A771E-6130-4900-B810-E1A2A70976B1
69916049,PAUD IMANUEL,KB,SWASTA,"Dusun Palo Belantian, Desa Sekais, Kecam...",Sekais Kec. Jelimpo,Kab. Landak,Kalimantan Barat,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/067603FC-3438-49E9-A48C-E1A333FA3A05
69852466,KB KASIH IBU,KB,SWASTA,TLAHAB,TLAHAB Kec. Pejawaran,Kab. Banjarnegara,Jawa Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13A4E47D-8D85-4490-B85F-E1A3D34A5779
